D_e (mm),D_i (mm),I_o (mm),t (mm),tâ€™ (mm),E,mu,s (mm),F (N),Stress_OM (Mpa),Stress_1 (Mpa,Stress_2 (Mpa),Stress_3 (Mpa),Stress_4 (Mpa)
205,116,6,1,1,210000,0.3,,,,,,,
205,116,7,1,1,210000,0.3,,,,,,,
205,116,8,1,1,210000,0.3,,,,,,,
205,116,9,1,1,210000,0.3,,,,,,,
205,116,6,2,2,210000,0.3,,,,,,,
205,116,7,2,2,210000,0.3,,,,,,,
205,116,8,2,2,210000,0.3,,,,,,,
205,116,9,2,2,210000,0.3,,,,,,,
205,116,6,3,3,210000,0.3,,,,,,,
205,116,7,3,3,210000,0.3,,,,,,,
205,116,8,3,3,210000,0.3,,,,,,,
205,116,9,3,3,210000,0.3,,,,,,,
205,116,6,4,4,210000,0.3,,,,,,,
205,116,7,4,4,210000,0.3,,,,,,,
205,116,8,4,4,210000,0.3,,,,,,,
205,116,9,4,4,210000,0.3,,,,,,,
205,116,6,5,5,210000,0.3,,,,,,,
205,116,7,5,5,210000,0.3,,,,,,,
205,116,8,5,5,210000,0.3,,,,,,,
205,116,9,5,5,210000,0.3,,,,,,,
